Registration year,Week number,Week beginning,Births registered
2014,17,4/21/14,1098
2014,16,4/14/14,957
2014,15,4/7/14,1059
2014,14,3/31/14,1063
2014,13,3/24/14,1095
2014,12,3/17/14,1086
2014,11,3/10/14,1096
2014,10,3/3/14,1007
2014,9,2/24/14,1057
2014,8,2/17/14,1073
2014,7,2/10/14,1041
2014,6,2/3/14,1030
2014,5,1/27/14,1062
2014,4,1/20/14,1076
2014,3,1/13/14,1117
2014,2,1/6/14,1695
2014,1,12/30/13,683
2013,52,12/23/13,576
2013,51,12/16/13,1075
2013,50,12/9/13,998
2013,49,12/2/13,1016
2013,48,11/25/13,1102
2013,47,11/18/13,1028
2013,46,11/11/13,1036
2013,45,11/4/13,1067
2013,44,10/28/13,1089
2013,43,10/21/13,1091
2013,42,10/14/13,1085
2013,41,10/7/13,1165
2013,40,9/30/13,1228
2013,39,9/23/13,985
2013,38,9/16/13,1063
2013,37,9/9/13,1109
2013,36,9/2/13,1082
2013,35,8/26/13,1122
2013,34,8/19/13,1147
2013,33,8/12/13,1125
2013,32,8/5/13,1074
2013,31,7/29/13,1110
2013,30,7/22/13,1183
2013,29,7/15/13,1051
2013,28,7/8/13,1121
2013,27,7/1/13,1130
2013,26,6/24/13,1119
2013,25,6/17/13,1041
2013,24,6/10/13,1093
2013,23,6/3/13,1072
2013,22,5/27/13,1006
2013,21,5/20/13,1074
2013,20,5/13/13,1073
2013,19,5/6/13,981
2013,18,4/29/13,1077
2013,17,4/22/13,1115
2013,16,4/15/13,1018
2013,15,4/8/13,1140
2013,14,4/1/13,1100
2013,13,3/25/13,885
2013,12,3/18/13,1038
2013,11,3/11/13,1053
2013,10,3/4/13,1046
2013,9,2/25/13,1075
2013,8,2/18/13,1135
2013,7,2/11/13,1043
2013,6,2/4/13,1083
2013,5,1/28/13,1065
2013,4,1/21/13,1036
2013,3,1/14/13,1099
2013,2,1/7/13,1543
2013,1,12/31/12,881
2012,52,12/24/12,567
2012,51,12/17/12,1170
2012,50,12/10/12,1090
2012,49,12/3/12,1019
2012,48,11/26/12,1155
2012,47,11/19/12,1120
2012,46,11/12/12,1100
2012,45,11/5/12,1113
2012,44,10/29/12,1105
2012,43,10/22/12,1148
2012,42,10/15/12,1112
